listing_id,date,locality,property_type,area_sqft,asking_price,age_years,road_width_ft,latitude,longitude,source
LS001,2026-08-31,Ghanaur,shop,650,3342000,18,30,30.4142,76.616,DEMO
LS002,2026-08-29,Patiala Road,independent_house,2050,7333000,10,30,30.469,76.5511,DEMO
LS003,2026-08-24,Ghanaur,flat,1000,2236000,17,20,30.4128,76.611,DEMO
LS004,2026-08-20,Rajpura,independent_house,1650,4917000,7,25,30.4798,76.599,DEMO
LS005,2026-08-14,Rajpura,independent_house,1700,5015000,8,30,30.4796,76.5892,DEMO
LS006,2026-08-09,Patiala Road,plot,2300,7627000,0,30,30.47,76.5692,DEMO
LS007,2026-08-01,Rajpura,independent_house,1750,5110000,6,20,30.4801,76.5983,DEMO
LS008,2026-07-30,Shambhu,agricultural_land,13900,8029000,0,60,30.4389,76.6999,DEMO
LS009,2026-07-28,Rajpura,independent_house,1800,5220000,8,30,30.4884,76.5971,DEMO
LS010,2026-07-25,Patiala Road,agricultural_land,19900,14621000,0,60,30.4653,76.5536,DEMO
LS011,2026-07-16,Rajpura,agricultural_land,18950,12889000,0,40,30.4847,76.5933,DEMO
LS012,2026-07-15,Rajpura,independent_house,1800,5364000,5,25,30.4783,76.5878,DEMO
LS013,2026-07-12,Banur,plot,2550,7632000,0,40,30.5304,76.7175,DEMO
LS014,2026-07-08,Rajpura,shop,750,5519000,5,30,30.4872,76.6009,DEMO
LS015,2026-07-05,Rajpura,independent_house,1800,5472000,9,20,30.4861,76.5868,DEMO
LS016,2026-07-04,Shambhu,shop,650,3307000,5,25,30.4446,76.6953,DEMO
LS017,2026-07-02,Ghanaur,agricultural_land,9900,5449000,0,18,30.4183,76.6135,DEMO
LS018,2026-06-28,Patiala Road,plot,1150,3717000,0,25,30.4631,76.5562,DEMO
LS019,2026-06-25,Rajpura,independent_house,1850,5328000,8,25,30.4887,76.5867,DEMO
LS020,2026-06-24,Patiala Road,agricultural_land,16450,11481000,0,30,30.4797,76.5511,DEMO
LS021,2026-06-23,Ghanaur,independent_house,2700,7125000,15,40,30.4068,76.6171,DEMO
LS022,2026-06-20,Patiala Road,shop,1000,7455000,10,30,30.4682,76.5568,DEMO
LS023,2026-06-18,Rajpura,independent_house,1900,5415000,10,30,30.4819,76.5883,DEMO
LS024,2026-06-14,Shambhu,shop,900,4975000,18,60,30.4418,76.6954,DEMO
LS025,2026-06-12,Ghanaur,shop,850,4124000,4,20,30.4196,76.6195,DEMO
LS026,2026-06-06,Shambhu,flat,1150,2788000,2,20,30.4443,76.6961,DEMO
LS027,2026-06-02,Rajpura,independent_house,1750,5285000,4,30,30.4907,76.5914,DEMO
LS028,2026-05-30,Shambhu,flat,1500,3737000,4,40,30.4331,76.6833,DEMO
LS029,2026-05-26,Shambhu,flat,1100,2856000,10,30,30.4305,76.6989,DEMO
LS030,2026-05-24,Rajpura,independent_house,1800,5310000,8,25,30.4827,76.5894,DEMO
LS031,2026-05-24,Banur,independent_house,1750,5599000,17,25,30.546,76.7145,DEMO
LS032,2026-05-21,Patiala Road,plot,1450,4768000,0,40,30.469,76.5685,DEMO
LS033,2026-05-16,Ghanaur,independent_house,1850,4568000,9,25,30.4024,76.6235,DEMO
LS034,2026-05-10,Rajpura,independent_house,1780,5269000,7,20,30.4887,76.6002,DEMO
LS035,2026-05-06,Banur,flat,1550,4643000,3,60,30.5455,76.7092,DEMO
LS036,2026-05-06,Shambhu,independent_house,2450,6897000,3,20,30.4494,76.6928,DEMO
LS037,2026-05-01,Ghanaur,plot,2800,6022000,0,40,30.4116,76.6244,DEMO
LS038,2026-04-29,Rajpura,independent_house,1820,5351000,6,30,30.482,76.5942,DEMO
LS039,2026-04-29,Ghanaur,shop,700,3427000,1,40,30.4196,76.6132,DEMO
LS040,2026-04-28,Ghanaur,shop,1000,5092000,2,60,30.4028,76.6141,DEMO
LS041,2026-04-15,Rajpura,agricultural_land,11700,7504000,0,30,30.491,76.5927,DEMO
LS042,2026-04-14,Rajpura,independent_house,1680,5124000,5,25,30.4805,76.5888,DEMO
LS043,2026-04-11,Rajpura,plot,3600,10616000,0,60,30.486,76.5846,DEMO
LS044,2026-04-08,Rajpura,agricultural_land,6750,4655000,0,18,30.4886,76.6024,DEMO
LS045,2026-04-08,Rajpura,flat,1500,4816000,15,30,30.4824,76.5861,DEMO
LS046,2026-03-31,Rajpura,plot,2450,7111000,0,40,30.4771,76.5867,DEMO
LS047,2026-03-30,Rajpura,independent_house,1720,5194000,9,20,30.4907,76.6013,DEMO
LS048,2026-03-29,Patiala Road,shop,950,6771000,17,18,30.4669,76.5522,DEMO
LS049,2026-03-25,Banur,agricultural_land,8200,4870000,0,60,30.5348,76.7089,DEMO
LS050,2026-03-25,Banur,plot,1350,3528000,0,60,30.5373,76.7077,DEMO
LS051,2026-03-18,Rajpura,independent_house,1760,5227000,8,25,30.4916,76.5909,DEMO
LS052,2026-03-10,Patiala Road,agricultural_land,6350,4268000,0,25,30.4636,76.5543,DEMO
LS053,2026-03-08,Rajpura,plot,1300,4085000,0,30,30.4831,76.5914,DEMO
LS054,2026-03-05,Shambhu,independent_house,2400,6606000,6,25,30.4487,76.6944,DEMO
LS055,2026-03-04,Patiala Road,agricultural_land,14350,9860000,0,25,30.4634,76.569,DEMO
LS056,2026-02-25,Rajpura,independent_house,1840,5373000,7,30,30.49,76.5991,DEMO
