transaction_id,date,locality,property_type,area_sqft,sale_price,latitude,longitude,source
TX001,2026-08-23,Ghanaur,agricultural_land,14150,6545000,30.4066,76.6235,DEMO
TX002,2026-08-14,Patiala Road,shop,400,2710000,30.4663,76.565,DEMO
TX003,2026-08-05,Rajpura,agricultural_land,10800,6604000,30.48,76.5874,DEMO
TX004,2026-08-03,Rajpura,shop,600,4078000,30.4785,76.5907,DEMO
TX005,2026-07-24,Rajpura,plot,2800,7801000,30.4887,76.5875,DEMO
TX006,2026-07-10,Rajpura,independent_house,1700,4760000,30.4863,76.5866,DEMO
TX007,2026-07-07,Banur,agricultural_land,16400,9178000,30.5388,76.7143,DEMO
TX008,2026-06-25,Patiala Road,agricultural_land,14400,9763000,30.4785,76.5547,DEMO
TX009,2026-06-20,Shambhu,agricultural_land,19250,9689000,30.4405,76.689,DEMO
TX010,2026-06-18,Ghanaur,agricultural_land,4900,2226000,30.4126,76.6284,DEMO
TX011,2026-06-15,Rajpura,independent_house,1750,4865000,30.4805,76.5898,DEMO
TX012,2026-05-23,Patiala Road,independent_house,2100,6617000,30.4669,76.5637,DEMO
TX013,2026-05-21,Shambhu,shop,700,3323000,30.4318,76.6992,DEMO
TX014,2026-05-20,Rajpura,independent_house,1800,4950000,30.4879,76.597,DEMO
TX015,2026-05-06,Rajpura,flat,1500,4139000,30.4817,76.6041,DEMO
TX016,2026-04-20,Rajpura,agricultural_land,9850,5779000,30.4755,76.5968,DEMO
TX017,2026-04-20,Shambhu,shop,650,3342000,30.4361,76.6924,DEMO
TX018,2026-04-18,Ghanaur,shop,750,3257000,30.4192,76.6238,DEMO
TX019,2026-04-12,Rajpura,independent_house,1800,5130000,30.4904,76.5876,DEMO
TX020,2026-04-10,Rajpura,agricultural_land,14950,8944000,30.4785,76.6042,DEMO
TX021,2026-04-09,Ghanaur,flat,1600,3194000,30.4092,76.6151,DEMO
TX022,2026-03-25,Banur,agricultural_land,4500,2497000,30.5301,76.707,DEMO
TX023,2026-03-23,Ghanaur,shop,750,3235000,30.414,76.6104,DEMO
TX024,2026-03-11,Patiala Road,flat,1800,5280000,30.471,76.55,DEMO
TX025,2026-03-05,Rajpura,independent_house,1800,5256000,30.4829,76.5867,DEMO
TX026,2026-02-18,Banur,shop,1000,5645000,30.549,76.7178,DEMO
TX027,2026-02-15,Banur,shop,250,1352000,30.547,76.7091,DEMO
TX028,2026-02-11,Banur,shop,950,5457000,30.5438,76.7129,DEMO
TX029,2026-02-07,Rajpura,agricultural_land,10400,6470000,30.4743,76.5986,DEMO
TX030,2026-02-04,Rajpura,shop,300,1859000,30.4867,76.6019,DEMO
TX031,2026-02-04,Shambhu,flat,1100,2350000,30.4301,76.689,DEMO
TX032,2026-02-02,Ghanaur,flat,1300,2511000,30.4082,76.6145,DEMO
TX033,2026-01-22,Rajpura,independent_house,1850,5180000,30.4796,76.5943,DEMO
TX034,2026-01-10,Shambhu,independent_house,2800,6812000,30.4316,76.6808,DEMO
TX035,2026-01-09,Rajpura,independent_house,1700,5542000,30.4925,76.6026,DEMO
TX036,2026-01-09,Rajpura,shop,500,3018000,30.4928,76.5956,DEMO
TX037,2026-01-07,Banur,shop,850,4834000,30.5409,76.7121,DEMO
TX038,2026-01-03,Rajpura,flat,1150,3228000,30.4825,76.5898,DEMO
TX039,2025-12-26,Rajpura,shop,300,1948000,30.4767,76.5937,DEMO
TX040,2025-11-30,Patiala Road,shop,200,1369000,30.4708,76.5644,DEMO
TX041,2025-11-18,Rajpura,independent_house,1900,5225000,30.4765,76.5894,DEMO
TX042,2025-11-02,Patiala Road,agricultural_land,9450,5702000,30.4787,76.5676,DEMO
TX043,2025-10-14,Sarai Banjara,plot,2800,5623000,30.4631,76.5355,DEMO
TX044,2025-09-30,Rajpura,independent_house,1950,5265000,30.4865,76.5949,DEMO
