property_id,name,type,distance_km,source
P001,Demo School,school,0.53,DEMO
P001,Demo Hospital,hospital,0.889,DEMO
P001,Demo Market,market,0.588,DEMO
P001,Demo Bank,bank,0.784,DEMO
P001,Demo Park,park,0.735,DEMO
P001,Demo Main Road,main_road,1.018,DEMO
P001,Devgarh Road,highway,9.603,OpenStreetMap
P001,Devgarh Road,highway,8.273,OpenStreetMap
P001,Devgarh Road,highway,10.192,OpenStreetMap
P001,Devgarh Road,highway,9.556,OpenStreetMap
P001,Devgarh Road,highway,7.164,OpenStreetMap
P001,Devgarh Road,highway,7.483,OpenStreetMap
P001,Unnamed,highway,8.476,OpenStreetMap
P001,Unnamed,highway,7.59,OpenStreetMap
P001,Unnamed,highway,9.199,OpenStreetMap
P001,Unnamed,highway,6.962,OpenStreetMap
P001,Unnamed,highway,7.799,OpenStreetMap
P001,Unnamed,highway,8.246,OpenStreetMap
P001,Unnamed,highway,6.86,OpenStreetMap
P001,Unnamed,highway,9.613,OpenStreetMap
P001,Pewoha Road,highway,11.767,OpenStreetMap
P001,Unnamed,highway,3.852,OpenStreetMap
P001,Unnamed,highway,1.86,OpenStreetMap
P001,Unnamed,highway,5.585,OpenStreetMap
P001,Unnamed,highway,7.99,OpenStreetMap
P001,Devgarh Road,highway,9.931,OpenStreetMap
P001,Devgarh Road,highway,9.582,OpenStreetMap
P001,Unnamed,highway,3.242,OpenStreetMap
P001,Unnamed,highway,4.403,OpenStreetMap
P001,Unnamed,highway,1.26,OpenStreetMap
P001,Unnamed,highway,1.155,OpenStreetMap
P001,Devgarh Road,highway,6.346,OpenStreetMap
P001,Devgarh Road,highway,6.566,OpenStreetMap
P001,Devgarh Road,highway,9.552,OpenStreetMap
P001,Devgarh Road,highway,9.588,OpenStreetMap
P001,Devgarh Road,highway,10.105,OpenStreetMap
P001,Devgarh Road,highway,9.603,OpenStreetMap
P001,Devgarh Road,highway,8.273,OpenStreetMap
P001,Devgarh Road,highway,10.192,OpenStreetMap
P001,Devgarh Road,highway,9.556,OpenStreetMap
P001,Devgarh Road,highway,7.164,OpenStreetMap
P001,Devgarh Road,highway,7.483,OpenStreetMap
P001,Unnamed,highway,8.476,OpenStreetMap
P001,Unnamed,highway,7.59,OpenStreetMap
P001,Unnamed,highway,9.199,OpenStreetMap
P001,Unnamed,highway,6.962,OpenStreetMap
P001,Unnamed,highway,7.799,OpenStreetMap
P001,Unnamed,highway,8.246,OpenStreetMap
P001,Unnamed,highway,6.86,OpenStreetMap
P001,Unnamed,highway,9.613,OpenStreetMap
P001,Pewoha Road,highway,11.767,OpenStreetMap
P001,Unnamed,highway,3.852,OpenStreetMap
P001,Unnamed,highway,1.86,OpenStreetMap
P001,Unnamed,highway,5.585,OpenStreetMap
P001,Unnamed,highway,7.99,OpenStreetMap
P001,Devgarh Road,highway,9.931,OpenStreetMap
P001,Devgarh Road,highway,9.582,OpenStreetMap
P001,Unnamed,highway,3.242,OpenStreetMap
P001,Unnamed,highway,4.403,OpenStreetMap
P001,Unnamed,highway,1.26,OpenStreetMap
P001,Unnamed,highway,1.155,OpenStreetMap
P001,Devgarh Road,highway,6.346,OpenStreetMap
P001,Devgarh Road,highway,6.566,OpenStreetMap
P001,Devgarh Road,highway,9.552,OpenStreetMap
P001,Devgarh Road,highway,9.588,OpenStreetMap
P001,Devgarh Road,highway,10.105,OpenStreetMap
P002,Getor Jagatpura,railway,9.125,OpenStreetMap
P002,Dahar-Ka-Balaji,railway,4.51,OpenStreetMap
P002,Natraj vegetarian Restaurant,food,2.191,OpenStreetMap
P002,Anokhi Cafe,food,0.853,OpenStreetMap
P002,Ambabadi Metro (u/c),railway,3.52,OpenStreetMap
P002,Relaince Fresh,retail,4.07,OpenStreetMap
P002,Book Wise,retail,1.99,OpenStreetMap
P002,Unnamed,food,2.057,OpenStreetMap
P002,Unnamed,retail,2.403,OpenStreetMap
P002,Unnamed,retail,2.413,OpenStreetMap
P002,metropolitian mall,retail,0.893,OpenStreetMap
P002,Gandhi Nagar Jaipur,railway,4.236,OpenStreetMap
P002,Bais Godam,railway,0.914,OpenStreetMap
P002,Kanakpura,railway,8.859,OpenStreetMap
P002,Durgapura,railway,6.113,OpenStreetMap
P002,Gaurav Tower I,retail,6.265,OpenStreetMap
P002,Gaurav Tower II,retail,6.294,OpenStreetMap
P002,Ganesh Restaurant,food,3.09,OpenStreetMap
P002,Jaipur Junction,railway,1.245,OpenStreetMap
P002,Cotton Curio,retail,0.327,OpenStreetMap
P002,Spice Court,food,0.142,OpenStreetMap
P002,Rukhmani,retail,0.177,OpenStreetMap
