property_id,name,type,latitude,longitude,source
P001,Devgarh Road,highway,30.0749193,76.5451391,OpenStreetMap
P001,Devgarh Road,highway,30.0895629,76.5384716,OpenStreetMap
P001,Devgarh Road,highway,30.0709973,76.5495293,OpenStreetMap
P001,Devgarh Road,highway,30.1887314,76.5196682,OpenStreetMap
P001,Devgarh Road,highway,30.1042377,76.5322206,OpenStreetMap
P001,Devgarh Road,highway,30.1598921,76.5226752,OpenStreetMap
P001,Unnamed,highway,30.0600552,76.4055735,OpenStreetMap
P001,Unnamed,highway,30.0520179,76.4670919,OpenStreetMap
P001,Unnamed,highway,30.0600327,76.3941291,OpenStreetMap
P001,Unnamed,highway,30.0573974,76.4610646,OpenStreetMap
P001,Unnamed,highway,30.060586,76.4169174,OpenStreetMap
P001,Unnamed,highway,30.0467165,76.4731345,OpenStreetMap
P001,Unnamed,highway,30.0610446,76.4389878,OpenStreetMap
P001,Unnamed,highway,30.0386059,76.4936705,OpenStreetMap
P001,Pewoha Road,highway,30.0544347,76.3640022,OpenStreetMap
P001,Unnamed,highway,30.1152901,76.4996755,OpenStreetMap
P001,Unnamed,highway,30.136604,76.4623587,OpenStreetMap
P001,Unnamed,highway,30.1699332,76.4537625,OpenStreetMap
P001,Unnamed,highway,30.1917637,76.4556954,OpenStreetMap
P001,Devgarh Road,highway,30.2083101,76.4753976,OpenStreetMap
P001,Devgarh Road,highway,30.20133,76.492928,OpenStreetMap
P001,Unnamed,highway,30.1486978,76.4540286,OpenStreetMap
P001,Unnamed,highway,30.1593066,76.454425,OpenStreetMap
P001,Unnamed,highway,30.1218613,76.4729265,OpenStreetMap
P001,Unnamed,highway,30.1247301,76.4706934,OpenStreetMap
P001,Devgarh Road,highway,30.1312959,76.5246811,OpenStreetMap
P001,Devgarh Road,highway,30.1180784,76.5282342,OpenStreetMap
P001,Devgarh Road,highway,30.191755,76.5146248,OpenStreetMap
P001,Devgarh Road,highway,30.194414,76.5103847,OpenStreetMap
P001,Devgarh Road,highway,30.2104783,76.4698446,OpenStreetMap
P002,Getor Jagatpura,railway,26.837001,75.8320226,OpenStreetMap
P002,Dahar-Ka-Balaji,railway,26.9445145,75.766114,OpenStreetMap
P002,Natraj vegetarian Restaurant,food,26.9161855,75.8109776,OpenStreetMap
P002,Anokhi Cafe,food,26.9106803,75.7985655,OpenStreetMap
P002,Ambabadi Metro (u/c),railway,26.9397287,75.7777965,OpenStreetMap
P002,Relaince Fresh,retail,26.9459398,75.7977858,OpenStreetMap
P002,Book Wise,retail,26.9154598,75.8091107,OpenStreetMap
P002,Unnamed,food,26.9152206,75.8099046,OpenStreetMap
P002,Unnamed,retail,26.9168756,75.812973,OpenStreetMap
P002,Unnamed,retail,26.916933,75.8130589,OpenStreetMap
P002,metropolitian mall,retail,26.9026707,75.7936885,OpenStreetMap
P002,Gandhi Nagar Jaipur,railway,26.8728017,75.7992199,OpenStreetMap
P002,Bais Godam,railway,26.9017919,75.7895065,OpenStreetMap
P002,Kanakpura,railway,26.9291996,75.703282,OpenStreetMap
P002,Durgapura,railway,26.855093,75.7870163,OpenStreetMap
P002,Gaurav Tower I,retail,26.8556371,75.8065846,OpenStreetMap
P002,Gaurav Tower II,retail,26.855521,75.8072377,OpenStreetMap
P002,Ganesh Restaurant,food,26.9168711,75.8201955,OpenStreetMap
P002,Jaipur Junction,railway,26.9207888,75.7866539,OpenStreetMap
P002,Cotton Curio,retail,26.9129392,75.7901959,OpenStreetMap
P002,Spice Court,food,26.9108905,75.7889678,OpenStreetMap
P002,Rukhmani,retail,26.9111225,75.7887318,OpenStreetMap
P002,Cottons,retail,26.9112283,75.788814,OpenStreetMap
P002,Suvasa,retail,26.9113566,75.7876528,OpenStreetMap
P002,Laxmi Mishthan Bhandar,food,26.9196343,75.8254983,OpenStreetMap
P002,Old Green Tandori Dhaba,food,26.9173942,75.8046009,OpenStreetMap
P002,वर्ल्ड ट्रेड पार्क,retail,26.8534541,75.8049509,OpenStreetMap
P002,Hotel Raj Style Inn,food,26.8499173,75.7686683,OpenStreetMap
P002,Neelam Dhaba,food,26.8481625,75.770165,OpenStreetMap
P002,Mahadev Dhaba,food,26.847881,75.7702746,OpenStreetMap
P002,Saras Parlour,food,26.8624615,75.8063864,OpenStreetMap
P002,United Colors of Benetton,retail,26.8918043,75.8063897,OpenStreetMap
P002,Big Bazar,retail,26.8645463,75.7958423,OpenStreetMap
P002,Chitra Café,food,26.9206156,75.8041948,OpenStreetMap
