name,type,latitude,longitude,source
Devgarh Road,highway,30.0749193,76.5451391,OpenStreetMap
Devgarh Road,highway,30.0895629,76.5384716,OpenStreetMap
Devgarh Road,highway,30.0709973,76.5495293,OpenStreetMap
Devgarh Road,highway,30.1887314,76.5196682,OpenStreetMap
Devgarh Road,highway,30.1042377,76.5322206,OpenStreetMap
Devgarh Road,highway,30.1598921,76.5226752,OpenStreetMap
Unnamed,highway,30.0600552,76.4055735,OpenStreetMap
Unnamed,highway,30.0520179,76.4670919,OpenStreetMap
Unnamed,highway,30.0600327,76.3941291,OpenStreetMap
Unnamed,highway,30.0573974,76.4610646,OpenStreetMap
Unnamed,highway,30.060586,76.4169174,OpenStreetMap
Unnamed,highway,30.0467165,76.4731345,OpenStreetMap
Unnamed,highway,30.0610446,76.4389878,OpenStreetMap
Unnamed,highway,30.0386059,76.4936705,OpenStreetMap
Pewoha Road,highway,30.0544347,76.3640022,OpenStreetMap
Unnamed,highway,30.1152901,76.4996755,OpenStreetMap
Unnamed,highway,30.136604,76.4623587,OpenStreetMap
Unnamed,highway,30.1699332,76.4537625,OpenStreetMap
Unnamed,highway,30.1917637,76.4556954,OpenStreetMap
Devgarh Road,highway,30.2083101,76.4753976,OpenStreetMap
Devgarh Road,highway,30.20133,76.492928,OpenStreetMap
Unnamed,highway,30.1486978,76.4540286,OpenStreetMap
Unnamed,highway,30.1593066,76.454425,OpenStreetMap
Unnamed,highway,30.1218613,76.4729265,OpenStreetMap
Unnamed,highway,30.1247301,76.4706934,OpenStreetMap
Devgarh Road,highway,30.1312959,76.5246811,OpenStreetMap
Devgarh Road,highway,30.1180784,76.5282342,OpenStreetMap
Devgarh Road,highway,30.191755,76.5146248,OpenStreetMap
Devgarh Road,highway,30.194414,76.5103847,OpenStreetMap
Devgarh Road,highway,30.2104783,76.4698446,OpenStreetMap
